Korean,English
내가,I
그,That
난,I
내,of mine
안,within
수,Number
이,this
네,Yeah
거야,Will
좀,A little
그래,okay
있어,there is
왜,Why
더,more
그리고,And
우리,Us
다,All
무슨,what
한,One
하지만,However
잘,well
어떻게,how
할,which
그냥,just
정말,Really
그럼,then
것,that
게,to
있어요,I have it
있는,there is
해,year
여기,here
넌,You
제가,I
날,day
우리가,U.S
건,key
전,I'm
이제,now
지금,now
그게,that
걸,What
거,roughness
아니,no
네가,you
없어,no
돼,Gotta
저,that
우린,we
제,My
못,nail
좋아,Good
당신이,You
다른,Different
나,I
그런,then
그건,that's
너무,Too
그래서,so
그렇게,like that
다시,again
이건,This
이런,this
나도,I also
모든,all
당신,you
거예요,Will
당신은,You
아,Ah
좋은,good
오,Five
때,time
너,you
하는,doing
하고,and
아냐,no
나는,I
아니야,no
알아,Know
같이,together
응,Huh
이게,this
없어요,do not have
괜찮아,OK
오늘,today
말이야,You mean
줄,line
또,In addition
널,Null
누가,Who
어떤,which
아주,very
말,Words
아직,yet
안돼,No
진짜,Really
모두,all
마,hemp
같은,same
여기서,here
어서,hurry
그는,he is
위해,for
해요,do
일이,Days
하지,Not
엄마,Mom
바로,Right away
가,end
근데,by the way
알고,know
이렇게,like this
빨리,Quickly
있습니다,There is
이거,this
전에,before
어,uh
아뇨,no
계속,continue
닥터,doctor
얼마나,how much
될,To be
알았어,Okay.
않아,I do not
제발,please
있지,It is not
겁니다,Will
어디,where
사람이,People
그가,he
안녕,Hi
좋아요,good
같아,same
우리는,We are
그래요,Ok
당신을,you
자,character
그걸,It
두,two
아니에요,No
있을,There
때문에,Because
대해,about
아빠,Dad
몇,Few
사람,Person
했어,I did it
뭐야,what
수도,Capital
많이,A lot of
집에,At home
거지,Beggar
일을,work
저는,I am
음,Well
그렇지,right
함께,together
만약,if
하나,one
저기,there
고마워요,Thank you
항상,always
나한테,To me
잠깐,awhile
가서,Go
가장,most
돼요,can
거죠,Did
가자,Go
맞아,right
보고,report
와,Wow
그거,that
말을,The end
괜찮아요,It's okay
아무도,no one
없는,Do not have
안녕하세요,Good morning
몰라,do not know
일,Work
많은,Plenty
당신의,Your
아무것도,nothing
그러니까,So
큰,large
알아요,I know
그의,His
뭐가,what
고마워,Thanks
그만,stop
했어요,Done
젠장,Damn it
사람들이,People
거에요,Going
이걸,It
그럴,It
것도,It
말이,Horse
이미,already
야,Hey
그를,Him
뭔가,Something
온,On
이봐,Hey
아니면,if not
같아요,same
그런데,By the way
아니라,not
세상에,Oh my gosh
있다고,That
있고,And
뭐라고,what
예,Yes
절대,never
말야,Malya
당장,right now
그래도,still
대한,About
말은,I mean
거기,there
전부,all
둘,two
그녀는,She is
니가,You're
갈,To go
않아요,I do not
자기,magnetism
있죠,Itjyo
하면,if
가지고,have
그들이,they
참,Oh yeah
너도,you too
됐어,done
미안해,Sorry
것을,Thing
여긴,Here
아무,any
사람은,people
감사합니다,Thank you
다들,everyone
어때,What do you think
씨,Seed
곧,soon
엄마가,Mom
나를,me
이젠,now
아마,maybe
그들은,they
얘기,story
꼭,exactly
있잖아,Hey
저도,me too
지금은,Now is
그녀가,She
중,medium
있다,have
시간,time
먼저,first
우릴,Us
말고,not
사람을,People
수가,Number
봐요,see
있는데,there is
알았어요,I see
해야,Sun
있었어,It was
우리의,Our
않을,Will
방금,just now
완전,very
된,The
동안,During
시간이,This time
싶어,want
본,example
일은,What
친구,friend
들어,listen
안에,in
번,time
자네,You
합니다,The
사실,Actually
한번,once
대체,how
같은데,Looks
생각해,think
맞아요,Yes
볼,ball
혼자,Alone
자네가,You have
절,section
그러니,so
선생님,Teacher
사람들은,People
문제가,The problem
다음,next
물론,sure